symbol,sector,strategy,strategy_name,sharpe,sortino,total_return,max_drawdown,win_rate,trades,profit_factor,period
NESTLEIND,FMCG,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
NESTLEIND,FMCG,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
NESTLEIND,FMCG,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
NESTLEIND,FMCG,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
NESTLEIND,FMCG,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
NESTLEIND,FMCG,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
NESTLEIND,FMCG,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
DABUR,FMCG,BREAKOUT,Swing Breakout,0.4919809540181557,0.35249052875266806,0.019443328971900042,0.012296005906338746,0.5,8,1.6791333981909704,1Y
DABUR,FMCG,EMA_CROSS,EMA Crossover,-1.1754221923631623,-1.3228063019557124,-0.14267785666514454,0.15405332948882577,0.46153846153846156,117,0.7522040892863698,1Y
DABUR,FMCG,ORB,Opening Range Breakout,-1.502537311911045,-0.9094020726378218,-0.13494324289683102,0.18457477492338994,0.4418604651162791,43,0.5686778225554783,1Y
DABUR,FMCG,VWAP,VWAP Mean Reversion,1.5506914006701134,1.8905037475001527,0.22178807138953704,0.08337015080893387,0.5441176470588235,136,1.4164652368660648,1Y
DABUR,FMCG,MOMENTUM,Momentum Rotation,0.4919809540181557,0.35249052875266806,0.019443328971900042,0.012296005906338746,0.5,8,1.6791333981909704,1Y
DABUR,FMCG,BB_SQUEEZE,Bollinger Squeeze,0.4919809540181557,0.35249052875266806,0.019443328971900042,0.012296005906338746,0.5,8,1.6791333981909704,1Y
DABUR,FMCG,RSI_DIV,RSI Divergence,0.4919809540181557,0.35249052875266806,0.019443328971900042,0.012296005906338746,0.5,8,1.6791333981909704,1Y
DABUR,FMCG,ATR_BREAKOUT,ATR Breakout,0.4919809540181557,0.35249052875266806,0.019443328971900042,0.012296005906338746,0.5,8,1.6791333981909704,1Y
BRITANNIA,FMCG,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
BRITANNIA,FMCG,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARICO,FMCG,BREAKOUT,Swing Breakout,-1.4979443930090646,-0.756586015185021,-0.07807097533589968,0.09578388672180527,0.3125,16,0.39801836873656704,1Y
MARICO,FMCG,EMA_CROSS,EMA Crossover,-0.17285256525527942,-0.2454927869435811,-0.03598862334066688,0.1454426756555549,0.4482758620689655,145,0.9643162360630473,1Y
MARICO,FMCG,ORB,Opening Range Breakout,-3.1028079373661206,-2.551256595613701,-0.28385761579238866,0.3051486767954955,0.3235294117647059,68,0.3763521513325774,1Y
